Source: IEA. All Rights Reserved
This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/

,Coal,Oil,Natural gas,Nuclear,Hydro,"Solar, wind, geothermal, etc.",Biofuels and waste,Units
1974,36.19197267,23.77163273,11.7181731,5.340977611,22.64775983,0.166837983,0.162646074,%
1975,36.50582469,22.26728927,11.34248399,7.256218113,22.27064351,0.180912596,0.176627824,%
1976,38.12689501,22.94293024,10.62619671,7.796086321,20.14168262,0.17882371,0.187385389,%
1977,37.91204478,22.38702006,10.57778659,9.319137857,19.4348817,0.171546483,0.197582533,%
1978,36.85260732,22.03961516,10.40816296,10.42756905,19.91465778,0.158647093,0.198740628,%
1979,38.33877486,19.86667403,10.97348796,10.32177851,20.10819801,0.182218972,0.208867667,%
1980,40.80546423,17.46767038,10.87011291,10.9196559,19.49824699,0.203749082,0.235100508,%
1981,41.2556269,15.57603767,10.3904422,12.69930569,19.62546139,0.215137537,0.237988618,%
1982,42.14883504,13.48339486,9.75276145,13.72587903,20.29104757,0.213404284,0.384677776,%
1983,42.65734266,12.22488229,9.088409115,14.91222128,20.49936344,0.230707238,0.387073976,%
1984,42.00605553,10.99175417,9.747390968,17.02299813,19.57389036,0.250934098,0.406976744,%
1985,42.68173834,9.051665065,9.227843412,19.54704269,18.79689947,0.275388284,0.419422735,%
1986,42.09670242,9.208304095,8.500627755,21.04524911,18.37996367,0.31604755,0.453105402,%
1987,42.20499266,8.760899965,8.901310518,21.69733849,17.6538665,0.330489048,0.451102813,%
1988,41.8739037,9.201469628,8.380580197,22.57985846,17.16998397,0.317010605,0.477193436,%
1989,40.85128708,9.772466359,9.853684532,22.10030972,15.84123989,0.40304869,1.177963736,%
1990,40.05693676,9.101710948,10.08354411,22.57643402,15.91133051,0.69390561,1.57615096,%
1991,39.54850845,8.954408518,10.32404676,23.20130139,16.07741112,0.699505068,1.19485659,%
1992,39.24613829,8.94878509,10.58606735,23.28834819,15.87045857,0.719346562,1.340859782,%
1993,38.92637886,8.114057936,10.93712522,23.57903671,16.42308533,0.732401782,1.287919743,%
1994,38.43436891,8.466861433,11.92753499,23.68269656,15.41678105,0.738500562,1.333251827,%
1995,37.93772921,7.534779263,12.47785021,23.91324398,16.06704511,0.723897869,1.34545155,%
1996,38.48508843,7.25255346,12.26704273,23.88720201,16.0364301,0.741730158,1.32995525,%
1997,38.49420638,7.005226453,13.31499813,23.24972392,15.809252,0.748421519,1.378168516,%
1998,38.35770643,7.020598825,14.14620411,23.30705567,15.03534892,0.747307813,1.385779721,%
1999,37.70522082,6.567935384,15.27691532,23.55808793,14.68371344,0.80110349,1.407024109,%
2000,38.49608666,6.028353917,15.781453,22.98088358,14.39694436,0.863901777,1.45237896,%
2001,37.93884219,5.801085515,16.70145597,23.59435736,13.53968134,0.934198634,1.490380628,%
2002,37.75409857,5.542780696,17.45798394,22.97566342,13.64638831,1.058355336,1.56473076,%
2003,38.36969707,5.702833452,17.68271319,22.19834313,13.26456771,1.20553769,1.576305435,%
2004,37.44532851,5.207689676,18.46044642,22.5804218,13.24247256,1.3928842,1.670761138,%
2005,37.29519428,5.065603837,19.00861019,22.26590727,12.98181623,1.590500729,1.792362693,%
2006,36.92681219,3.967218033,20.17114759,22.18359111,13.08704161,1.786258793,1.877931664,%
2007,36.65000325,4.206529817,21.5734696,21.03044754,12.50561175,2.088005805,1.945927976,%
2008,35.85533824,3.646078216,22.09917476,20.9898282,12.89996207,2.457590065,2.052025326,%
2009,34.14145701,3.103685327,22.84820712,21.39565006,13.25549684,3.008219232,2.247302752,%
2010,34.02298428,2.8430721,23.54537701,20.80254336,12.9476921,3.443480355,2.394847437,%
2011,33.15796531,3.250344823,24.42526637,19.04064959,13.29561794,4.299756338,2.530390799,%
2012,31.95642665,3.637409821,25.46652952,17.83140759,13.32897675,5.055697997,2.723554456,%
2013,32.33614617,3.148946325,24.27022283,17.91612584,13.51856737,5.954036304,2.855944728,%
2014,31.95988619,2.568452511,24.15267005,18.16730873,13.45693363,6.687679611,3.007066402,%
2015,29.58943595,2.380024172,26.02713346,18.0172081,13.20904586,7.639494035,3.13765517,%
2016,27.63039978,2.225400613,27.35667864,17.83455867,13.39890576,8.354339203,3.199713764,%
2017,27.15223779,1.99949459,26.97430939,17.68194591,13.31424037,9.574478694,3.303296108,%
2018,25.77542385,1.834588954,27.93280226,17.61218622,13.30606091,10.20581653,3.333118961,%
2019p,22.39323833,1.774213694,29.56203794,17.99307104,13.19257107,11.70994148,3.374926475,%
